TURN	UTTERANCE	DA	EMOTION
Ses03F_script03_2_F036	you've always had far too temperamental for yourself. you should try to control it.	o	xxx
Ses05M_script03_2_F037	you know what, i'm sick and tire of listening to you.  you're a- you're a total sadistic bully.	o	ang
Ses03F_script03_1_M019	so is everyone else in the long run. let's be superficial and pity the poor philosophers.	o	xxx
Ses01M_script01_3_M024	it's kind of all mixed up with all these other things.	s	sad
Ses03M_script02_2_M045	shh.  if we're very quiet the fish might come.	o	hap
Ses04M_script01_3_F014	i'll never forgive you.  why did you wait all these years?  all i've done is sit around and wonder if i was crazy for thinking of you.	o	hap
Ses03F_script01_1_M018	i want to ask her to marry me.	ans	neu
Ses05F_script03_2_F004	maybe just a little, but--	ans	neu
Ses01F_script02_2_M028	a vacation?	q	xxx
Ses05M_impro03_M021	it will be perfect.	o	exc
Ses01M_impro02_F003	how...	q	fru
Ses05F_impro04_F010	oh come on, that's not what i envisioned for myself. honestly, would you settle for being a manager at mcdonalds?	q	fru
Ses02M_script03_2_M014	really, amanda.	dag	xxx
Ses01F_impro01_F005	well what's the problem?  let me change it.	q	neu
Ses05F_impro03_M006	oh my gosh.	s	exc
Ses01M_script01_1_M008	i don't know the meaning of it.  but i know we've made terrible mistake with father.	o	fru
Ses05F_impro07_F015	awesome.	o	exc
Ses04F_script02_1_M020	honey this is natural phenomenon.  i mean this only happens once a year.  this is a great opportunity.	s	fru
Ses03M_impro05b_F011	well, we can give you um hotel lodging for a night if that--	ans	neu
Ses03M_impro07_M000	hey.	g	xxx
Ses01M_impro07_F008	you should...you should look into that.	o	exc
Ses05M_impro04_F007	really?	q	neu
Ses04F_impro01_M004	ma'am i can't help you.  do you understand?	q	fru
Ses01M_script03_1_M032	you could run off with all the men in a world. i won't say a word.  just as long as you love me best.	o	xxx
Ses01M_impro03_F020	yeah, at night.	s	exc
Ses05F_impro04_M015	if it's rent or something like that, i mean i can help you out a little bit, if if that will help you you know stick with it.	ans	neu
Ses02M_impro08_F008	uh, i don't know where it came from and it's actually quite large, and i don't have the money for it so	s	neu
Ses05M_script01_1b_M009	why shouldn't he dream about him, walk the nights waiting for him?  do we contradict him?  do we say outright that we don't have any hope anymore?  that we haven't had any hope for a long time?	q	fru
Ses03M_script02_1_F013	pass up what?  these fish swim up to shore, on the beach and then they flop around a little, they swim away and then they die.	s	fru
Ses05M_script01_1_M000	he saw it.	s	xxx
Ses01F_impro07_F007	it's a relief too. i mean i was thinking i was going to have to pack up all of my stuff but yeah. hooray for u.s.c.	o	xxx
Ses01F_impro05_M023	actually, we are not necessarily liable to give you to even give you this fifty dollars so... it's actually it's actually really	s	neu
Ses04M_script01_1_F006	what was he doing out here at that hour?  he's dreaming about him again.  he's walking around at night.	o	xxx
Ses04F_script03_2_M008	that's a nice point of view, i must say.	o	ang
Ses04M_script03_2_F033	on the contrary, a child of two could get violently drunk on only one glass of brandy.	o	ang
Ses05M_impro05_F020	yeah.  let me just call security.	ans	neu
Ses05M_impro08_M020	well, if it does happen again, let me give you my direct number and you can call me.  actually, i'll give you my cell number. um it's --	ans	neu
Ses02F_impro07_F036	i will. i will. thank you.	a	exc
Ses01M_impro01_M024	i have been to california my whole--	ans	xxx
Ses02F_impro02_F005	you could send me pictures.	o	sad
Ses05F_impro01_F008	so could i maybe get the form from you, fill it out here and maybe you could-	q	neu
Ses03M_script01_3_M020	how long, how long i've been waiting to do that.	o	xxx
Ses02F_impro04_F008	it's just so frustrating.  like, i just--i just don't wanna do it anymore.  you know?  i just don't wanna like hit the pavement every single day with my resumes and going out there all the time.  you know, it's just like--	o	fru
Ses04M_script01_3_F018	then what's wrong.  even in your letters, there was something ashamed.	q	xxx
Ses01M_impro06_M009	no.	ans	sad
Ses05M_impro03_M018	um and she wants you to be in it, too.  she loves you so much. she thinks you're the sweetest.  of course, you are.  you're you're my best friend so-	s	hap
Ses01M_impro04_M010	i guess i just getting really hard to fake, you know.	o	fru
Ses01M_script03_2_F016	no, darling i'm just making myself fascinating for you.	ans	xxx
Ses04M_script03_1_M023	do you remember that awful scene we had in venice?	q	xxx
Ses02M_script02_2_F030	i'm sure, this is standing on the beach, this is waiting, this is fighting.	o	fru
Ses03M_impro03_M022	and i go, i want to spend the rest of my life with you.	s	xxx
Ses03F_script01_2_M008	look, it's a nice day. what are we arguing for?	q	neu
Ses05M_script01_1b_F011	you can talk yourself blue in the face but there's no body and there's no grave.  so where are you?	q	xxx
Ses01M_script01_1_M014	okay, all right.  mom, sit down.  i want to talk to you.	s	fru
Ses05M_script01_1b_F021	well, you're a considerate fella.  there's nothing wrong with that.	o	xxx
Ses05M_script03_1_M026	the one where you bought that little painted wooden stake and you put it on my bed.	ans	exc
Ses01M_script01_1_M009	i mean, these kinds of things, man they always come back at you.  and this is definitely coming back to us.	ans	xxx
Ses02M_script01_1_F037	well, you don't want to think like that.	o	ang
Ses04F_script03_1_M014	laugh at them, be flippant, laugh at everything, all their sacred shibboleths	o	xxx
Ses04M_script01_2_F010	because she knows what i know, that's why.  she's faithful as a rock.  in my worst moments, i think of her waiting and i know, again, that i'm right.	ans	ang
Ses05F_impro03_F041	[breathing]	oth	hap
Ses02F_script02_2_M022	you want me to go get some champagne?	q	neu
Ses03F_script01_1_F033	well, how do you know she's going to marry you? i mean, what if she feels the same way as your father?	q	xxx
Ses04M_script02_1_M026	we weren't in a good spot.	o	xxx
Ses04M_impro04_M012	- i mean, i don't understand.  it's like - i mean, i feel like i'm qualified enough.  i just don't understand.  like, i mean, it's just like a matter of circumstance, but it's been three years, you know, three years.	s	fru
Ses05F_script03_1_F009	well, it's true.	o	xxx
Ses02F_script01_3_M003	oh.	b	xxx
Ses02M_impro08_F021	oh that'll be great 'cause i could just get a new number, would that be okay because that way i don't have to worry about it happening again?	o	xxx
Ses02M_script02_1_M009	oh well, sure, yes.	ag	xxx
Ses04M_impro07_M021	find out all this stuff.  and and i don't know.  i think i'm going to try to live in a dorm.	s	exc
Ses01M_impro03_F024	incredible.	a	exc
Ses04F_impro04_M013	i mean, well i mean i don't know; it doesn't really affect my life, you know.	o	neu
Ses03M_script01_1_M007	i don't know.  but i know one thing mom, we made a terrible mistake with dad.	ans	sad
Ses02M_impro02_M009	i've never been i've never been away from you for two weeks let alone a year.	s	sad
Ses05M_impro03_F016	where is she right now?	q	hap
Ses04F_impro03_F002	look.	c	exc
Ses04F_impro07_F033	i know.	ag	exc
Ses04F_script01_2_M013	calm yourself.	c	fru
Ses04M_script01_3_M016	anne, give me a kiss.  give me a -	c	xxx
Ses03F_impro07_F004	i have some better news than that.	ans	hap
Ses01M_script01_2_F013	you above all have got to believe. just don't stop believing.	c	ang
Ses05M_script01_1b_F000	what's he going to say?  maybe we ought to tell him before he sees it.	o	sad
Ses01M_impro01_F005	another id?	q	xxx
Ses04M_impro05_F020	but it's not.  it's yours.  i understand.	ap	neu
Ses03M_impro02_F035	priorities honey, priorities.	o	fru
Ses04F_impro08_M009	i asked for no tomatoes on six tacos.  i got tomatoes and onions on all of them	ans	xxx
Ses02M_impro01_F018	i'm sorry, sir. there is nothing i can do.	ap	fru
Ses04F_impro07_F010	do you want to buy me some mace for my, you know, going away present?	q	exc
Ses04F_impro07_M005	that's awesome.  congratulations.	o	exc
Ses04M_script03_1_M013	all the futile moralists who try to make life unbearable.  laugh at them.  be flippant.  laugh at everything.  all their sacred shibboleths.  flippancy brings out the acid acid in their damn sweetness and light.	ans	ang
Ses02F_script02_1_M026	this is a big night for these guys.  life's last orgy.	o	exc
Ses01F_script02_1_M024	honey, this is like a natural phenomenon. i mean... people in kansas would have to get plane reservations and get hotel rooms to see this.  it's just forty minutes away for us; it's too good to pass up.	o	neu
Ses01F_script02_2_F034	i know you are augie, i know.	ag	sad
Ses04M_script02_2_M005	carla, can i ask you something?  don't take this the wrong way, but are you having your period?	q	fru
Ses03M_impro03_F015	yeah.  that's, you know, okay.	ag	neu
Ses01M_impro01_M015	so can you help me or not?	q	fru
